Time,HR,BR,SkinTemp,Posture,Activity_x,PeakAccel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,AuxADC1,AuxADC2,AuxADC3,Activity_y
1358759280432,101,18.6,-3276.8,12,0.58,0.95,222,65535,255,0.00524,0.0003,100,65535,65535,1,61,-1.2,-0.51,-0.15,0.72,-0.53,0.31,427,441,515,sitting
1358759340432,93,18.1,-3276.8,-12,0.02,0.07,82,65535,255,0.0051,0.00012,100,65535,65535,1,121,-1.0,-0.96,-0.12,-0.01,0.2,0.24,429,444,516,sitting
1358759400432,87,13.9,-3276.8,-10,0.02,0.06,72,65535,255,0.0051600000000000005,0.00012,100,65535,65535,1,181,-1.02,-0.96,0.03,0.1,0.14,0.22,428,441,514,sitting
1358759460432,96,15.7,-3276.8,-12,0.11,0.28,121,65535,255,0.00528,0.00038,100,44,65535,1,241,-1.1,-0.83,-0.02,0.31,0.09,0.34,476,514,532,sitting
1358759520432,102,20.9,-3276.8,27,0.34,0.51,79,65535,255,0.0049,0.00026000000000000003,100,38,65535,1,301,-0.83,-0.61,-0.26,-0.07,-0.72,-0.46,427,438,513,sitting
1358759580432,93,10.3,-3276.8,60,0.11,0.24,140,65535,255,0.00512,0.00022,100,38,65535,1,361,-0.71,-0.33,-0.18,0.02,-0.93,-0.68,430,442,515,sitting
1358759640432,106,6.3,-3276.8,15,0.43,0.77,172,65535,255,0.00508,0.00022,98,30,65535,1,421,-0.9,-0.46,-0.09,0.32,-1.03,-0.12,416,421,505,sitting
1358759700432,99,17.5,-3276.8,37,0.14,0.24,90,65535,255,0.005220000000000001,0.00024,100,30,65535,1,481,-0.9,-0.74,0.03,0.21,-0.57,-0.37,432,444,514,sitting
1358759760432,106,8.6,-3276.8,-6,0.28,0.39,155,65535,255,0.00554,0.00028,99,30,65535,1,541,-1.32,-0.71,-0.34,0.3,-0.12,0.42,433,444,516,sitting
1358759820432,85,9.6,-3276.8,-75,0.01,0.04,124,65535,255,0.00532,0.00012,100,61,65535,1,601,-0.3,-0.22,-0.08,0.01,0.98,1.01,433,446,517,lying
1358759880432,85,19.6,-3276.8,-73,0.01,0.04,83,65535,255,0.00562,0.00014,100,67,65535,1,661,-0.33,-0.25,-0.04,0.02,0.96,1.01,434,446,515,lying
1358759940432,79,16.3,-3276.8,-73,0.01,0.03,50,65535,255,0.00554,0.00016,100,86,65535,1,721,-0.32,-0.25,-0.06,0.01,0.96,1.01,436,448,517,lying
1358760000432,76,14.0,-3276.8,-75,0.01,0.12,66,65535,255,0.005379999999999999,0.0001,100,69,65535,1,781,-0.31,-0.22,-0.07,0.01,0.97,1.18,434,445,514,lying
1358760060432,83,14.5,-3276.8,-75,0.02,0.08,62,65535,255,0.0056,0.00024,100,40,65535,1,841,-0.31,-0.21,-0.15,-0.02,0.97,1.0,434,445,514,lying
1358760120432,82,16.9,-3276.8,-73,0.01,0.06,61,65535,255,0.005520000000000001,0.0001,100,32,65535,3,15,-0.32,-0.22,-0.09,-0.01,0.97,1.0,436,446,515,lying
1358760180432,77,18.5,-3276.8,-73,0.01,0.04,41,65535,255,0.00548,0.00012,100,29,65535,3,75,-0.32,-0.22,-0.08,-0.01,0.97,1.01,436,447,514,lying
