Time,Label
1358759280432,sitting
1358759281432,sitting
1358759282432,sitting
1358759283432,sitting
1358759284432,sitting
1358759285432,sitting
1358759286432,sitting
1358759287432,sitting
1358759288432,sitting
1358759289432,sitting
1358759290432,sitting
1358759291432,sitting
1358759292432,sitting
1358759293432,sitting
1358759294432,sitting
1358759295432,sitting
1358759296432,sitting
1358759297432,sitting
1358759298432,sitting
1358759299432,sitting
1358759300432,sitting
1358759301432,sitting
1358759302432,sitting
1358759303432,sitting
1358759304432,sitting
1358759305432,sitting
1358759306432,sitting
1358759307432,sitting
1358759308432,sitting
1358759309432,sitting
1358759310432,sitting
1358759311432,sitting
1358759312432,sitting
1358759313432,sitting
1358759314432,sitting
1358759315432,sitting
1358759316432,sitting
1358759317432,sitting
1358759318432,sitting
1358759319432,sitting
1358759320432,sitting
1358759321432,sitting
1358759322432,sitting
1358759323432,sitting
1358759324432,sitting
1358759325432,sitting
1358759326432,sitting
1358759327432,sitting
1358759328432,sitting
1358759329432,sitting
1358759330432,sitting
1358759331432,sitting
1358759332432,sitting
1358759333432,sitting
1358759334432,sitting
1358759335432,sitting
1358759336432,sitting
1358759337432,sitting
1358759338432,sitting
1358759339432,sitting
1358759340432,sitting
1358759341432,sitting
1358759342432,sitting
1358759343432,sitting
1358759344432,sitting
1358759345432,sitting
1358759346432,sitting
1358759347432,sitting
1358759348432,sitting
1358759349432,sitting
1358759350432,sitting
1358759351432,sitting
1358759352432,sitting
1358759353432,sitting
1358759354432,sitting
1358759355432,sitting
1358759356432,sitting
1358759357432,sitting
1358759358432,sitting
1358759359432,sitting
1358759360432,sitting
1358759361432,sitting
1358759362432,sitting
1358759363432,sitting
1358759364432,sitting
1358759365432,sitting
1358759366432,sitting
1358759367432,sitting
1358759368432,sitting
1358759369432,sitting
1358759370432,sitting
1358759371432,sitting
1358759372432,sitting
1358759373432,sitting
1358759374432,sitting
1358759375432,sitting
1358759376432,sitting
1358759377432,sitting
1358759378432,sitting
1358759379432,sitting
1358759380432,sitting
1358759381432,sitting
1358759382432,sitting
1358759383432,sitting
1358759384432,sitting
1358759385432,sitting
1358759386432,sitting
1358759387432,sitting
1358759388432,sitting
1358759389432,sitting
1358759390432,sitting
1358759391432,sitting
1358759392432,sitting
1358759393432,sitting
1358759394432,sitting
1358759395432,sitting
1358759396432,sitting
1358759397432,sitting
1358759398432,sitting
1358759399432,sitting
1358759400432,sitting
1358759401432,sitting
1358759402432,sitting
1358759403432,sitting
1358759404432,sitting
1358759405432,sitting
1358759406432,sitting
1358759407432,sitting
1358759408432,sitting
1358759409432,sitting
1358759410432,sitting
1358759411432,sitting
1358759412432,sitting
1358759413432,sitting
1358759414432,sitting
1358759415432,sitting
1358759416432,sitting
1358759417432,sitting
1358759418432,sitting
1358759419432,sitting
1358759420432,sitting
1358759421432,sitting
1358759422432,sitting
1358759423432,sitting
1358759424432,sitting
1358759425432,sitting
1358759426432,sitting
1358759427432,sitting
1358759428432,sitting
1358759429432,sitting
1358759430432,sitting
1358759431432,sitting
1358759432432,sitting
1358759433432,sitting
1358759434432,sitting
1358759435432,sitting
1358759436432,sitting
1358759437432,sitting
1358759438432,sitting
1358759439432,sitting
1358759440432,sitting
1358759441432,sitting
1358759442432,sitting
1358759443432,sitting
1358759444432,sitting
1358759445432,sitting
1358759446432,sitting
1358759447432,sitting
1358759448432,sitting
1358759449432,sitting
1358759450432,sitting
1358759451432,sitting
1358759452432,sitting
1358759453432,sitting
1358759454432,sitting
1358759455432,sitting
1358759456432,sitting
1358759457432,sitting
1358759458432,sitting
1358759459432,sitting
1358759460432,sitting
1358759461432,sitting
1358759462432,sitting
1358759463432,sitting
1358759464432,sitting
1358759465432,sitting
1358759466432,sitting
1358759467432,sitting
1358759468432,sitting
1358759469432,sitting
1358759470432,sitting
1358759471432,sitting
1358759472432,sitting
1358759473432,sitting
1358759474432,sitting
1358759475432,sitting
1358759476432,sitting
1358759477432,sitting
1358759478432,sitting
1358759479432,sitting
1358759480432,sitting
1358759481432,sitting
1358759482432,sitting
1358759483432,sitting
1358759484432,sitting
1358759485432,sitting
1358759486432,sitting
1358759487432,sitting
1358759488432,sitting
